"sp" "body_mass_g.avg." "fossorial" "ground_dwelling" "aboveground_dwelling" "aquatic" "cathemeral" "crepuscular" "diurnal" "nocturnal"
"226" "Tamandua_tetradactyla" "4800" 0 1 1 0 1 0 0 0
"227" "Tapirus_terrestris" "169496.64" 0 1 0 0 0 0 0 1
"228" "Tayassu_pecari" "31798.71" 0 1 0 0 0 0 1 0
"230" "Thalpomys_lasiotis" "23.99" 0 1 0 0 0 0 0 1
"231" "Thaptomys_nigrita" "19.9" 1 1 0 0 0 0 1 1
"232" "Thrichomys_apereoides" "297.53" 1 1 1 0 0 1 0 1
"233" "Thrichomys_laurentius" "404.3" 0 1 1 0 0 0 1 1
"234" "Thylamys_karimii" "26.76" 0 0 1 0 0 1 0 1
"236" "Thylamys_velutinus" "20.69" 0 0 1 0 0 0 0 1
"238" "Tolypeutes_tricinctus" "1465.72" 0 1 0 0 1 0 0 0
"239" "Trinomys_albispinus" "284.99" 0 1 0 0 0 0 0 1
"240" "Trinomys_dimidiatus" "167.6" 0 1 0 0 0 0 0 1
"241" "Trinomys_eliasi" "229" 0 1 0 0 0 1 0 1
"242" "Trinomys_gratiosus" "203.498" NA NA NA NA NA NA NA NA
"243" "Trinomys_iheringi" "220.39" 0 1 0 0 0 0 0 1
"244" "Trinomys_mirapitanga" "242.2" 0 1 0 0 NA NA NA NA
"245" "Trinomys_moojeni" "170" 0 1 0 0 0 0 0 1
"246" "Trinomys_paratus" "279.5" 0 1 0 0 NA NA NA NA
"247" "Trinomys_setosus" "284.99" 0 1 0 0 0 0 0 1
"248" "Wiedomys_pyrrhorhinos" "46.7" 0 1 1 0 0 0 0 1
"249" "Wilfredomys_oenax" "46.8" 0 0 1 0 0 0 0 1
