"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"237" "Phimosus_infuscatus" "559" 0 0 80 20 0 0 0 0 0
"238" "Phacellodomus_ferrugineigula" "24.5" 0 0 0 0 100 0 0 0 0
"239" "Phacellodomus_rufifrons" "24.6" 0 0 0 70 20 10 0 0 0
"240" "Piculus_flavigula" "55" 0 0 0 0 0 40 60 0 0
"241" "Picumnus_albosquamatus" "11.9" 0 0 0 0 40 30 30 0 0
"242" "Picumnus_cirratus" "10.2" 0 0 0 0 50 50 0 0 0
"243" "Picumnus_exilis" "9.3" 0 0 0 0 80 20 0 0 0
"244" "Picumnus_fulvescens" "11.32" 0 0 0 0 40 30 30 0 0
"245" "Picumnus_nebulosus" "11.6" 0 0 0 0 50 50 0 0 0
"246" "Picumnus_temminckii" "11.5" 0 0 0 0 80 20 0 0 0
"247" "Picumnus_pygmaeus" "11" 0 0 0 0 40 30 30 0 0
"248" "Pilherodius_pileatus" "568.59" 0 0 80 20 0 0 0 0 0
"250" "Pipile_cumanensis" "1239.22" 0 0 0 0 0 30 70 0 0
"251" "Plegadis_chihi" "616.89" 0 0 80 20 0 0 0 0 0
"252" "Pluvialis_dominica" "151.47" 0 0 0 100 0 0 0 0 0
"257" "Primolius_maracana" "256" 0 0 0 20 20 30 30 0 0
"258" "Psittacara_leucophthalmus" "158" 0 0 0 20 20 40 20 0 0
"259" "Pteroglossus_aracari" "250.16" 0 0 0 0 0 30 70 0 0
"260" "Pteroglossus_bailloni" "146" 0 0 0 0 0 60 40 0 0
"261" "Pteroglossus_castanotis" "258.09" 0 0 0 0 20 60 20 0 0
"262" "Pteroglossus_inscriptus" "125.82" 0 0 0 0 0 30 70 0 0
"263" "Rhea_americana" "23000" 0 0 0 100 0 0 0 0 0
"264" "Pyrrhura_cruentata" "75.87" 0 0 0 0 30 50 20 0 0
"265" "Pyrrhura_frontalis" "72" 0 0 0 0 30 50 20 0 0
"266" "Pyrrhura_leucotis" "75.87" 0 0 0 0 33 33 33 0 0
"267" "Rallus_longirostris" "259.35" 0 10 40 40 10 0 0 0 0
"269" "Ramphastos_dicolorus" "331" 0 0 0 20 0 0 80 0 0
"270" "Ramphastos_toco" "617.99" 0 0 0 20 10 10 60 0 0
"271" "Rhynchotus_rufescens" "843.47" 0 0 0 80 20 0 0 0 0
"272" "Rostrhamus_sociabilis" "366.94" 0 0 0 100 0 0 0 0 0
"274" "Rupornis_magnirostris" "269" 0 0 0 33 33 33 0 0 0
"275" "Sarkidiornis_sylvicola" "2610" 0 0 50 50 0 0 0 0 0
"276" "Selenidera_maculirostris" "164" 0 0 0 0 20 40 40 0 0
"280" "Spizaetus_ornatus" "1197.4" 0 0 0 10 20 50 20 0 0
"281" "Spizaetus_tyrannus" "1007.11" 0 0 0 20 20 30 20 10 0
"282" "Steganopus_tricolor" "59.39" 0 0 80 20 0 0 0 0 0
"283" "Stephanoxis_lalandi" "4" 0 0 0 0 60 20 10 10 0
"284" "Stephanoxis_loddigesii" "4" 0 0 0 0 60 20 10 10 0
"285" "Sterna_hirundinacea" "188" 0 100 0 0 0 0 0 0 1
"286" "Sterna_trudeaui" "153" 0 100 0 0 0 0 0 0 0
"287" "Sternula_superciliaris" NA NA NA NA NA NA NA NA NA NA
"288" "Strix_hylophila" "345.38" 1 0 0 20 10 10 60 0 0
"289" "Syrigma_sibilatrix" "463" 0 30 70 0 0 0 0 0 0
