"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"298" "Legatus_leucophaius" "22.2" 0 0 0 0 0 20 80 0 0
"299" "Lepidocolaptes_angustirostris" "29.59" 0 0 0 0 40 60 0 0 0
"300" "Lepidocolaptes_falcinellus" "27.92" 0 0 0 0 0 50 50 0 0
"301" "Lepidocolaptes_squamatus" "28.1" 0 0 0 0 0 50 50 0 0
"302" "Leptasthenura_setaria" "11" 0 0 0 0 0 50 50 0 0
"303" "Leptasthenura_striolata" "10.5" 0 0 0 0 33 33 33 0 0
"304" "Leptodon_forbesi" "577" 0 0 0 0 50 50 0 0 0
"305" "Leptopogon_amaurocephalus" "11.7" 0 0 0 0 50 50 0 0 0
"306" "Leptotila_rufaxilla" "157" 0 0 0 100 0 0 0 0 0
"307" "Lessonia_rufa" "13.4" 0 0 0 100 0 0 0 0 0
"308" "Leucochloris_albicollis" "6.3" 0 0 0 0 30 60 10 0 0
"309" "Limnoctites_rectirostris" "18.5" 0 0 0 100 0 0 0 0 0
"310" "Limnornis_curvirostris" "28.6" 0 0 0 100 0 0 0 0 0
"311" "Limosa_haemastica" "253.29" 0 0 50 50 0 0 0 0 0
"312" "Lipaugus_lanioides" "94.8" 0 0 0 0 50 50 0 0 0
"313" "Lipaugus_vociferans" "75.42" 0 0 0 0 50 50 0 0 0
"314" "Lochmias_nematura" "22" 0 0 0 100 0 0 0 0 0
"315" "Lophornis_chalybeus" "3" 0 0 0 0 30 60 10 0 0
"316" "Lophornis_magnificus" "2.7" 0 0 0 0 50 50 0 0 0
"317" "Machaeropterus_regulus" "9.34" 0 0 0 0 50 50 0 0 0
"318" "Machetornis_rixosa" "29.6" 0 0 0 100 0 0 0 0 0
"319" "Mackenziaena_leachii" "70.2" 0 0 0 40 40 20 0 0 0
"320" "Mackenziaena_severa" "51.8" 0 0 0 30 40 30 0 0 0
"321" "Malacoptila_striata" "44.1" 0 0 0 50 50 0 0 0 0
"322" "Manacus_manacus" "16.7" 0 0 0 0 80 20 0 0 0
"323" "Megascops_atricapilla" "118.89" 1 0 0 10 10 20 60 0 0
"324" "Megascops_choliba" "132" 1 0 0 40 50 0 0 10 0
"325" "Megascops_sanctaecatarinae" "179.72" 1 0 0 50 50 0 0 0 0
"326" "Megaxenops_parnaguae" "25" 0 0 0 0 0 100 0 0 0
"327" "Melanerpes_candidus" "108" 0 0 0 0 50 50 0 0 0
"328" "Melanerpes_flavifrons" "57.78" 0 0 0 0 50 50 0 0 0
"329" "Melanopareia_torquata" "17.2" 0 0 0 60 40 0 0 0 0
"330" "Mergus_octosetaceus" "983" 0 100 0 0 0 0 0 0 0
"331" "Merulaxis_ater" "35.03" 0 0 0 100 0 0 0 0 0
"332" "Mesembrinibis_cayennensis" "756" 0 0 40 60 0 0 0 0 0
"333" "Micrastur_mintoni" "209.5" 0 0 0 0 100 0 0 0 0
"334" "Micrastur_mirandollei" "548.99" 0 0 0 0 50 50 0 0 0
"335" "Micrastur_semitorquatus" "621.68" 0 0 0 50 30 20 0 0 0
"336" "Micropygia_schomburgkii" "31.2" 0 0 0 60 40 0 0 0 0
"337" "Milvago_chimachima" "315.21" 0 0 0 100 0 0 0 0 0
"338" "Mimus_saturninus" "63.7" 0 0 0 100 0 0 0 0 0
"339" "Mimus_triurus" "47.2" 0 0 0 100 0 0 0 0 0
"340" "Mionectes_rufiventris" "13.3" 0 0 0 0 10 90 0 0 0
