"sp" "Body_size_mm" "Diu" "Noc" "Crepu" "Fos" "Ter" "Aqu" "Arb"
"321" "Melanophryniscus_moreirae" "30" 1 0 0 1 1 1 0
"327" "Myersiella_microps" "40" 1 1 0 1 1 1 0
"328" "Odontophrynus_americanus" "51" 0 1 0 1 1 1 0
"329" "Odontophrynus_carvalhoi" "70" 0 1 0 1 1 1 0
"330" "Odontophrynus_cultripes" "70" 0 1 0 1 1 1 0
"331" "Odontophrynus_maisuma" "43.6" 0 1 0 1 1 1 0
"333" "Scinax_cosenzai" "23" 0 1 0 0 0 1 1
"335" "Scinax_tripui" "39.2" 0 1 0 0 0 1 1
"337" "Paratelmatobius_cardosoi" "17.9" 0 1 0 0 1 1 0
"340" "Paratelmatobius_mantiqueira" "19.3" 0 1 0 0 1 1 0
"341" "Paratelmatobius_poecilogaster" "30.1" 0 1 0 0 1 1 0
"342" "Phasmahyla_cochranae" "45.15" 0 1 0 0 0 0 1
"343" "Phasmahyla_exilis" "34.5" 0 1 0 0 0 0 1
"344" "Phasmahyla_guttata" "45" 0 1 0 0 0 0 1
"345" "Phasmahyla_jandaia" "32" 0 1 0 0 0 0 1
"346" "Phasmahyla_spectabilis" "48.6" 0 1 0 0 0 0 1
"347" "Phasmahyla_timbo" "35.8" 0 1 0 0 0 0 1
"348" "Phrynomedusa_appendiculata" "37.4" 0 1 0 0 0 0 1
"351" "Phrynomedusa_marginata" "31" 0 1 0 0 0 0 1
"352" "Phrynomedusa_vanzolinii" "36.5" 0 1 0 0 0 0 1
"357" "Phyllodytes_kautskyi" "38" 1 1 0 0 0 1 1
"358" "Phyllodytes_luteolus" "25" 0 1 0 0 1 1 1
"361" "Phyllodytes_melanomystax" "26.6" 0 1 0 0 1 1 1
"363" "Phyllodytes_tuberculosus" "26" 0 1 0 0 1 1 1
"364" "Phyllodytes_wuchereri" "27.1" 0 1 0 0 0 1 1
"365" "Phyllomedusa_bahiana" "85" 0 1 0 0 0 0 1
"366" "Phyllomedusa_burmeisteri" "79" 0 1 0 0 1 1 1
"367" "Phyllomedusa_distincta" "70" 0 1 0 0 1 1 1
"368" "Phyllomedusa_iheringii" "75" 0 1 0 0 1 0 1
"369" "Phyllomedusa_sauvagii" "96.6" 0 1 0 0 1 1 1
"370" "Phyllomedusa_tetraploidea" "69.4" 0 1 0 0 1 1 1
"371" "Physalaemus_aguirrei" "28.2" 0 1 0 0 1 1 0
"373" "Physalaemus_albonotatus" "34.1" 1 1 0 0 1 1 0
"376" "Physalaemus_atlanticus" "26.8" 0 1 1 0 1 1 0
"378" "Physalaemus_biligonigerus" "40" 0 1 0 0 1 1 0
"382" "Physalaemus_centralis" "40" 0 1 0 0 1 1 0
"383" "Physalaemus_cicada" "25.38" 0 1 0 0 1 1 0
"384" "Physalaemus_crombiei" "25.2" 0 1 0 0 1 1 0
"385" "Physalaemus_cuvieri" "36.5" 0 1 1 0 1 1 0
"386" "Physalaemus_deimaticus" "24.4" 0 1 0 0 1 1 0
"387" "Physalaemus_erikae" "27.1" 1 1 0 0 1 1 0
"388" "Physalaemus_evangelistai" "23" 0 1 0 0 1 1 0
"389" "Physalaemus_feioi" "31.2" 0 1 0 0 1 1 0
"390" "Physalaemus_gracilis" "40" 0 1 0 0 1 1 0
"391" "Physalaemus_henselii" "27.7" 0 1 0 0 1 1 0
"394" "Physalaemus_jordanensis" "24" 0 1 0 0 1 1 0
"395" "Physalaemus_kroyeri" "35" 0 1 1 0 1 1 0
"396" "Physalaemus_lateristriga" "40.3" 0 1 0 0 1 1 0
"397" "Physalaemus_lisei" "28.25" 0 1 0 0 1 1 0
"398" "Physalaemus_maculiventris" "25" 0 1 0 0 1 1 0
"399" "Physalaemus_marmoratus" "39" 0 1 0 0 1 1 0
"400" "Physalaemus_maximus" "45" 0 1 0 0 1 1 0
"401" "Physalaemus_moreirae" "28.2" 0 1 0 0 1 1 0
"402" "Physalaemus_nanus" "20" 0 1 0 0 1 1 0
"403" "Eupemphix_nattereri" "51.3" 0 1 0 0 1 1 0
"404" "Physalaemus_obtectus" "24.93" 0 1 0 0 1 1 0
"405" "Physalaemus_olfersii" "41" 0 1 0 0 1 1 0
"409" "Physalaemus_signifer" "26.72" 1 1 0 0 1 1 0
"411" "Physalaemus_spiniger" "22.7" 1 1 0 0 1 1 0
"412" "Pipa_carvalhoi" "68" 1 1 0 0 0 1 0
"413" "Phyllomedusa_ayeaye" "46.1" 0 1 0 0 0 0 1
"414" "Phyllomedusa_azurea" "43.1" 0 1 0 0 0 0 1
"417" "Phyllomedusa_nordestina" "37" 0 1 0 0 0 0 1
"418" "Phyllomedusa_rohdei" "46" 0 1 0 0 0 0 1
"419" "Pleurodema_alium" "36.1" 0 1 0 0 1 1 0
"420" "Pleurodema_bibroni" "34.8" 0 1 0 0 1 1 0
"421" "Pleurodema_diplolister" "20" 0 1 0 1 1 0 0
"422" "Pristimantis_paulodutrai" "36" 0 1 0 0 1 0 0
"423" "Pristimantis_ramagii" "24" 0 1 0 0 1 0 0
"424" "Pristimantis_vinhai" "25" 0 1 0 0 1 0 0
"425" "Proceratophrys_appendiculata" "63.2" 1 1 1 1 1 1 0
"426" "Proceratophrys_avelinoi" "36.5" 1 1 0 1 1 1 0
"427" "Proceratophrys_belzebul" "62" 1 1 0 1 1 1 0
"428" "Proceratophrys_bigibbosa" "53.4" 1 1 0 1 1 1 0
"429" "Proceratophrys_boiei" "74.3" 0 1 0 1 1 1 0
"430" "Proceratophrys_brauni" "39.8" 1 1 1 1 1 1 0
"431" "Proceratophrys_cristiceps" "50.2" 0 1 0 1 1 1 0
"432" "Proceratophrys_cururu" "53.9" 0 1 0 1 1 1 0
"434" "Proceratophrys_izecksohni" "54.1" 1 1 0 1 1 1 0
"435" "Proceratophrys_laticeps" "82.7" 1 1 0 1 1 1 0
"437" "Proceratophrys_melanopogon" "65.8" 0 1 0 1 1 1 0
"438" "Proceratophrys_moehringi" "63.6" 1 0 1 1 1 1 0
"439" "Proceratophrys_palustris" "33.8" 1 1 0 1 1 1 0
"443" "Proceratophrys_renalis" "55" 0 1 0 1 1 1 0
"444" "Proceratophrys_schirchi" "50" 0 1 0 1 1 1 0
"445" "Proceratophrys_subguttata" "58.9" 0 1 0 1 1 1 0
